127.0.0.1 - - [09/Feb/2022:07:24:56 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36 Edg/98.0.1108.43"
127.0.0.1 - - [09/Feb/2022:11:47:20 +0000] "GET /api/v0/stadiums/available-stadiums?2022-01-13 HTTP/1.1" 404 173 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:11:47:22 +0000] "GET /api/v0/stadiums/available-stadiums?2022-01-13 HTTP/1.1" 404 173 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:11:47:52 +0000] "GET /api/v0/stadiums/available-stadiums2022-01-13 HTTP/1.1" 404 183 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:11:48:02 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-01-13 HTTP/1.1" 404 173 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:11:49:00 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-01-13 HTTP/1.1" 200 20 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:11:50:04 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-01-13 HTTP/1.1" 200 34 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:11:50:19 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 200 12 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:11:50:43 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 200 12 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:11:52:05 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 200 21 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:11:52:50 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 200 34 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:15:36 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" - - "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:16:32 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" - - "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:20:41 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 500 56 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:21:23 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 500 56 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:21:24 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 500 56 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:21:25 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 500 56 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:21:27 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 500 56 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:21:28 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 500 56 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:22:10 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 200 144 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:23:19 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 200 144 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:23:51 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 500 31 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:24:09 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 200 2 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:25:01 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 200 2 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:25:03 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 200 2 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:25:34 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 200 2 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:25:36 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 200 2 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:25:37 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 200 2 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:25:38 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 200 2 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:25:38 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 200 2 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:25:38 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 200 2 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:26:12 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:26:27 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:26:28 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:27:01 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:28:48 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:29:38 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:31:57 +0000] "GET /api/v0/stadiums/available-stadiums HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:32:31 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:32:33 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:33:55 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09%20 HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:33:56 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09%20 HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:33:58 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09%20 HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:33:59 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09%20 HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:33:59 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09%20 HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:34:00 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09%20 HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:41:13 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09%20 HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:41:14 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09%20 HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:41:15 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09%20 HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:41:16 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09%20 HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:42:23 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09%20 HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:43:04 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09%20 HTTP/1.1" 200 283 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:45:24 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09%20 HTTP/1.1" 200 144 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:47:24 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09%20 HTTP/1.1" 200 144 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:48:11 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09%20 HTTP/1.1" 500 240 "-" "PostmanRuntime/7.28.4"
